"gene_accession_id","analysis_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue"
"1913743","6j9wa9r4a51bi3y","Mrpl51","C57BL","E12.5","IMPC_OFD_007_001","whole arena resting time","0.928911"
"1915513","6jb9cocc402953o","Pdhb","C57BL","E9.5","IMPC_CBC_012_001","aspartate aminotransferase","0.8830897"
"1922684","6jc8q77qk7t164e","Cimip2c","C57BL","Early adult","M-G-P_007_001_003","whole arena - resting time","0.5547546"
"1101768","6jc9g9edv4ax094","H3f3b","C57BL","Early adult","IMPC_GEL_029_001","midbrain","0.2205315"
"1933946","6jdigj489c1qm5u","Ptov1","C57BL","Early adult","IMPC_HEM_001_001","white blood cell count","0.6085472"
"1919173","6jdw3m440av681z","Borcs6","C57BL","Early adult","ESLIM_007_001_009","periphery average speed","0.1740217"
"1927657","6je0829671n2i62","MS4A8A","C57BL","Early adult","HRWLIP_CSD_032_001","locomotor activity","0.3943181"
"1913346","6jf1j6y308xn03j","Lamtor4","C57BL","Early adult","IMPC_CBC_004_001","urea (blood urea nitrogen - bun)","0.1325907"
"1919173","6jh28w190785z63","Borcs6","C57BL","E9.5","IMPC_ABR_012_001","30khz-evoked abr threshold","0.4740334"
"109242","6ji040i658ia3t7","Spin1","C57BL","E12.5","TCP_CHL_071_001","baseline inspiratory time","0.1137426"
"1924285","6jj01o8ap049del","Kdm8","C57BL","Early adult","JAX_OFD_007_001","whole arena resting time","0.05323229"
"1202715","6jkq59e770gx85q","Tcf21","C57BL","Early adult","JAX_OFD_010_001","periphery distance travelled","0.9220239"
"1101768","6jm21b02u34l3zg","H3f3b","C57BL","Early adult","IMPC_CBC_017_001","triglycerides","0.08839662"
"1913105","6jmval1m4zu3i55","Slc28a2","C57BL","Early adult","IMPC_GRS_008_001","forelimb grip strength measurement mean","0.4544727"
"1917633","6jn0m5p2fh8t7v9","Cox10","C57BL","Early adult","IMPC_DXA_009_001","fat/body weight","0.1396104"
"894310","6jp3o2nwd302v2q","Septin8","C57BL","Early adult","ESLIM_008_001_003","defecation","0.402448"
"1298386","6jpe670a84hhh25","Tpd52l1","C57BL","Early adult","IMPC_XRY_033_001","tibia length","0.2854305"
"1913335","6jv945qcht86878","Eif3f","C57BL","Early adult","JAX_OFD_021_001","number of rears - total","0.848799"
"2137681","6jwsva8o88ev4k1","Sfxn5","C57BL","Early adult","IMPC_EYE_062_001","right total retinal thickness","0.5378506"
"1914296","6k109d5n795hg08","Tbc1d7","C57BL","Early adult","ESLIM_022_001_001","body weight","0.6445763"
"98386","6k1z90v4195c9gx","Sptan1","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.4098528"
"1860075","6k226vd087f73c3","Ppt2","C57BL","Early adult","IMPC_EYE_083_001","vitreous","0.9466061"
"2158468","6k242f556p16c48","Ms4a3","C57BL","Early adult","IMPC_GEP_024_001","body wall morphology","0.4681121"
"2137681","6k330ou41946e6z","Sfxn5","C57BL","Early adult","IMPC_DXA_002_001","fat mass","0.4005299"
"99178","6k374t2sq952c5b","Zfp30","C57BL","Early adult","IMPC_GEP_017_001","facial morphology","0.1249996"
"2137681","6k377531m8cd393","Sfxn5","C57BL","Early adult","ESLIM_011_001_007","pp1 + pulse startle magnitude","0.4460855"
"1933126","6k3s3cjy182o65s","Cdk5rap3","C57BL","Early adult","IMPC_CSD_061_001","skin color - tail","0.0689814"
"99460","6k462z22z63bj3f","Notch3","C57BL","Early adult","IMPC_XRY_005_001","teeth","0.08435271"
"96391","6k4p3t3i26s7i85","Ica1","C57BL","Early adult","IMPC_ECH_003_001","stroke volume","0.1602098"
"1917315","6k59sx6a930rh94","Ankrd60","C57BL","Early adult","IMPC_OFD_014_001","center distance travelled","0.6811043"
"1202715","6k799f42zw89468","Tcf21","C57BL","Early adult","ESLIM_005_001_004","bone mineral density (excluding skull)","0.05417217"
"1921116","6k9j77d8cajv685","Pabir3","C57BL","Early adult","HRWLIP_CSD_032_001","locomotor activity","0.1986123"
"98386","6k9rv359fkwvg2q","Sptan1","C57BL","E9.5","IMPC_GEL_011_001","embryo turning","0.2507498"
"1917633","6k9w0e3oh8t1g05","Cox10","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage","0.8820055"
"1933126","6ka210r1k8c40s9","Cdk5rap3","C57BL","Early adult","IMPC_EYE_026_001","retinal blood vessels pattern","0.0000000000000003199451"
"1913743","6kdl439mznt5936","Mrpl51","C57BL","E9.5","IMPC_EYE_058_001","max right eye lens density","0.7422841"
"1927594","6kf5b041j0y67hn","Itm2c","C57BL","Early adult","IMPC_CSD_037_001","unexpected behaviors","0.9878243"
"1352449","6kh0h4vn3k573rf","Cxcl9","C57BL","Early adult","IMPC_GEP_024_001","body wall morphology","0.2963345"
"1927657","6kil7ix69145k0n","Ms4a8a","C57BL","Early adult","ESLIM_007_001_003","whole arena resting time","0.7095085"
"1933169","6kk4i02qyzvqwtf","Sacm1l","C57BL","E12.5","UCD_OWT_003_001","spleen weight","1"
"95707","6kkhg26413932m9","Gh","C57BL","Early adult","IMPC_GEP_005_002","responsive to tactile stimuli","0.4523199"
"1860075","6kkus0b2r21yqo0","Ppt2","C57BL","Early adult","IMPC_GEO_047_002","microphthalmia","0.4795806"
"2669033","6kls5215f2625k3","Tmc3","C57BL","Early adult","IMPC_GEL_058_001","heart morphology","0.9048637"
"1347354","6kow4h3463oqj1g","Homer2","C57BL","Early adult","IMPC_HEM_002_001","red blood cell count","0.3349191"
"2681164","6kp0vo1otnpkf16","Plekha8","C57BL","Early adult","IMPC_GRS_010_001","forelimb grip strength normalised against body weight","0.5109383"
"1917678","6kr1k10e1416289","Polr3b","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.5703147"
"2151153","6krvl32n3532c35","Boc","C57BL","Early adult","IMPC_DXA_004_001","bone mineral density (excluding skull)","0.4997135"
"1352449","6ks5893in9v9s08","Cxcl9","C57BL","Early adult","IMPC_ACS_035_001","% pre-pulse inhibition - ppi3","0.700203"
"1917633","6kvu077cmq7pw43","Cox10","C57BL","E9.5","IMPC_CBC_058_001","cholesterol ratio","0.3101689"
"1913105","6kzk1988zt8684q","Slc28a2","C57BL","Early adult","JAXLA_CSD_008_001","coat - color pattern - back","0.9356764"
"97361","6l01vb2vw995b33","Nos2","C57BL","Early adult","TCP_CHL_081_001","baseline enhanced pause","0.9201901"
"104709","6l02txxo01nvsi9","Wbp2","C57BL","Early adult","ESLIM_011_001_008","pp2 + pulse startle magnitude","0.8635594"
"97361","6l24kek762bq51v","Nos2","C57BL","Early adult","IMPC_CBC_017_001","triglycerides","0.3072964"
"1927594","6l25w015x6ld2iw","Itm2c","C57BL","Early adult","IMPC_CBC_014_001","alkaline phosphatase","0.6074466"
"109242","6l2f7149mx72o12","Spin1","C57BL","E9.5","IMPC_EYE_063_001","right inner nuclear layer","0.9658766"
"1917678","6l4p4a2pe375qs3","Polr3b","C57BL","E9.5","IMPC_EYE_023_001","optic disc","0.820931"
"97308","6l59y0j888k6063","Nfe2","C57BL","Early adult","IMPC_EYE_008_001","corneal opacity","0.9288779"
"1913367","6l5h6uhcpvo0656","Fmc1","C57BL","E18.5","IMPC_DXA_005_001","bone mineral content (excluding skull)","0.361361"
"96136","6l5s6t56k153309","Hmgn2","C57BL","Early adult","IMPC_XRY_033_001","tibia length","0.6499316"
"1345633","6l63n9ekdqvw3b7","Mars1","C57BL","E9.5","IMPC_EYE_056_001","mean left eye lens density","0.9550798"
"2384860","6l7tm0lr8fou805","Slc44a3","C57BL","Early adult","IMPC_EYE_017_001","lens opacity","0.00000000002933156"
"2443008","6l7upkn148ow84c","Trappc8","C57BL","E9.5","IMPC_CSD_061_001","skin color - tail","0.8004308"
"96136","6lc7a7q21lf7662","Hmgn2","C57BL","Early adult","ESLIM_011_001_009","pp3 + pulse startle magnitude","0.92071"
"1345633","6lhe125aivvjud4","Mars1","C57BL","Early adult","ESLIM_011_001_703","prepulse inhibition - pp3","0.8276297"
"2444115","6lim3s6b9r8j8t8","Hecw1","C57BL","Early adult","CCP_XRY_060_001","transitional vertebrae","0.1887331"
"2448415","6lss68d88q97qiz","H2bc21","C57BL","Middle aged adult","IMPC_GEO_069_001","delayed embryonic development","0.9220221"
"1202715","6lym1qv21ulb345","Tcf21","C57BL","E15.5","TCP_CHL_071_001","baseline inspiratory time","0.7743932"
"1930618","6m03s5oz1ozjt8m","Krit1","C57BL","E12.5","IMPC_EYE_008_001","corneal opacity","0.6450536"
"2158468","6m066q40nn32py1","Ms4a3","C57BL","Early adult","IMPC_CBC_010_001","phosphorus","0.8390584"
"1933126","6m0ljq8w8hr2w16","Cdk5rap3","C57BL","Early adult","IMPC_CSD_010_001","coat - color pattern - abdomen","0.1136074"
"2443008","6m0r8x723kw1ahf","Trappc8","C56BL","E9.5","ESLIM_011_001_705","global prepulse inhibition","0.1392925"
"2679007","6m14g68830j8c2e","Elmo3","C57BL","Early adult","IMPC_EYE_063_001","right inner nuclear layer","0.1374073"
"106638","6m29q65hn464e3x","Pla2g2c","C57BL","Early adult","IMPC_DXA_008_001","lean/body weight","0.7548925"
"2447762","6m3573vlrmht3q4","Yeats2","C57BL","Late adult","IMPC_ABR_002_001","click-evoked abr threshold","0.7268131"
"1913367","6m375g8m3i50k6u","Fmc1","C57BL","E18.5","IMPC_ECG_007_001","qrs","0.7143006"
"2137681","6m458t2x0172p41","Sfxn5","C57BL","Early adult","IMPC_EYE_017_001","lens opacity","0.4533147"
"1330861","6m53g20c1803p2q","Dclk1","C57BL","Early adult","IMPC_HEM_004_001","hematocrit","0.525669"
"1913367","6m5g03603mg7k0j","Fmc1","C57BL","E18.5","ESLIM_011_001_705","global prepulse inhibition","0.2747571"
"1929865","6m60ipws9b6okr6","Nampt","C57BL","E9.5","CCP_XRY_060_001","transitional vertebrae","0.3288004"
"1915094","6m6l661gqvbo83g","Rab32","C57BL","Early adult","IMPC_CSD_029_001","activity (body position)","0.5625006"
"96743","6m747zn8rb4f42h","Lamb1","C57BL","E9.5","IMPC_DXA_005_001","bone mineral content (excluding skull)","0.3392949"
"2448415","6m7y35bq384f64t","H2bc21","C57BL","Middle aged adult","IMPC_EYE_092_001","retina (combined)","0.8248458"
"3605773","6m858j9czhm108w","Cimip2a","C57BL","Early adult","IMPC_GEO_069_001","delayed embryonic development","0.9505878"
"2447762","6m8q86nc33c9go6","YEATS2","C57BL","Late adult","IMPC_OFD_018_001","latency to center entry","0.8988425"
"1933169","6m8u8anh865k0v1","Sacm1l","C57BL","E9.5","IMPC_CSD_037_001","unexpected behaviors","1"
"1336213","6m9323mpgeudj88","Mybpc1","C57BL","Early adult","IMPC_CBC_011_001","iron","0.6425201"
"104709","6mc5odrw299nh1i","Wbp2","C57BL","Early adult","IMPC_EYE_007_001","cornea","0.1669185"
"94903","6mcs78fudi13m9s","Dlx3","C57BL","Early adult","IMPC_EYE_008_001","corneal opacity","0.9977164"
"1933946","6me29b6722tr6qu","Ptov1","C57BL","Early adult","IMPC_DXA_003_001","lean mass","0.8244088"
"98386","6me7x060qr2fr69","Sptan1","C57BL","E15.5","MGP_CSD_018_001","head coat/hair appearance","0.3590411"
"2444115","6me9k4pk66f53m3","Hecw1","C57BL","Late adult","IMPC_HEM_001_001","white blood cell count","0.09241818"
"1933169","6mgiu43332ry7hd","Sacm1l","C57BL","E12.5","IMPC_CSD_032_001","locomotor activity","0.3314478"
"2447762","6mlz6ia4107r4p0","Yeats2","C57BL","E9.5","IMPC_OFD_010_001","periphery distance travelled","0.4652612"
"1915878","6mrm5l5n29qt2pe","Fbxw9","C57BL","Early adult","HRWLIP_CSD_077_001","contact righting","0.1900146"
"2385891","6mru5sp8cyt9y68","Zc3h12a","C57BL","Early adult","IMPC_CSD_010_001","coat - color pattern - abdomen","0.5521541"
"1915513","6mu12o7z6c28fk5","Pdhb","C57BL","Early adult","IMPC_CBC_058_001","cholesterol ratio","0.8016002"
"1858752","6mumb92hk67lv43","Rundc3a","C57BL","Early adult","TCP_CHL_071_001","baseline inspiratory time","0.745145"
"1933169","6mzsv6b904zrs5a","Sacm1l","C57BL","E9.5","HRWL_OWT_001_001","spleen weight","0.8951525"
"1349660","6n06972rk5mc921","Pla2g2e","C57BL","Early adult","IMPC_CBC_023_001","alpha-amylase","0.4449352"
"99510","6n15351024d5i80","Tmsb4x","C57BL","Early adult","IMPC_EYE_012_001","pupil shape","0.06890428"
"2384860","6n20j69o43z58gn","Slc44a3","C57BL","Early adult","IMPC_GEL_014_001","allantois morphology","0.6297147"
"1313312","6n2dr1z3gmf2c09","Khdrbs3","C57BL","Early adult","IMPC_CBC_004_001","urea (blood urea nitrogen - bun)","0.9017752"
"1929865","6n310dh62i555fh","Nampt","C57BL","Early adult","IMPC_DXA_003_001","lean mass","0.2953173"
"2444115","6n354lzag5vtk1p","Hecw1","C57BL","Early adult","IMPC_CBC_028_001","creatine kinase","0.4067227"
"2384860","6n48hq5qbn525dq","Slc44a3","C57BL","Early adult","IMPC_HEM_019_001","mean platelet volume","0.9647266"
"1923607","6n4b8x30413ot82","Trmt5","C57BL","E9.5","IMPC_LDT_008_001","percent time in light","0.7969243"
"1930618","6n4v3q43w4bl1uv","Krit1","C57BL","Early adult","IMPC_HWT_008_001","heart weight","0.08402632"
"1915094","6n552fh0419zd36","Rab32","C57BL","Early adult","IMPC_DXA_005_001","bone mineral content (excluding skull)","0.2155369"
"2137681","6n57l7mvvu9kdl2","Sfxn5","C57BL","Early adult","IMPC_CSD_028_001","snout size","0.398548"
"103258","6n5r4x1q3ise4vd","Adad1","C57BL","Early adult","IMPC_CBC_012_001","aspartate aminotransferase","0.5891646"
"96136","6n604s57hx1m392","Hmgn2","C57BL","E12.5","MGP_IMM_033_001","total nk cells - % of cd45+","0.2515208"
"1919173","6n6d075qegnq5y1","Borcs6","C57BL","Early adult","IMPC_EYE_068_001","left total retinal thickness","0.6961195"
"1345633","6n6s8zj3fg149s1","Mars1","C57BL","E9.5","IMPC_OFD_017_001","center average speed","0.1761591"
"2385891","6n76407lzk749yv","Zc3h12a","C57BL","Early adult","IMPC_LDT_007_001","percent time in dark","0.05111133"
"1922684","6n800cjhl84dg8z","Cimip2c","C57BL","Early adult","ESLIM_007_001_003","whole arena resting time","0.3926079"
"1917633","6n90w758iy4131m","Cox10","C57BL","Early adult","IMPC_GEO_011_001","blood vessel morphology","0.07571503"
"2158468","6nc9u5fh0z6t07e","Ms4a3","C57BL","Early adult","ESLIM_011_001_010","pp4 + pulse startle magnitude","0.2129199"
"2447762","6nf0yz380r66791","Yeats2","C57BL","Early adult","IMPC_EYE_092_001","retina (combined)","0.4687192"
"99460","6nh028s8sv4vg5a","NOTCH3","C57BL","Early adult","HRWLLA_CBC_010_001","phosphorus","0.3166445"
"2443008","6nh15sa1y3t7bm1","Trappc8","C57BL","E9.5","IMPC_CBC_015_001","total cholesterol","0.2670203"
"1913335","6ni1e7tp3m5b363","Eif3f","C57BL","Early adult","IMPC_GEP_024_001","body wall morphology","0.6700518"
"2448415","6nog5t2jw627788","H2bc21","C57BL","Late adult","ESLIM_011_001_006","110db startle magnitude","0.9867256"
"1927594","6nsh923ua03088j","Itm2c","C57BL","Early adult","IMPC_EYE_027_001","persistence of hyaloid vascular system","0.1448942"
"1347354","6nsz6ac1o6p3uz7","Homer2","C57BL","Early adult","IMPC_GEL_018_001","visceral yolk sac morphology","0.799499"
"2444115","6nt10774wf81gwh","Hecw1","C57BL","Middle aged adult","CCP_XRY_001_001","skull shape","0.7477459"
"2448415","6nuq35bsj4xqiy9","H2bc21","C57BL","E18.5","IMPC_HEM_032_001","lymphocyte cell count","0.2831125"
"1917678","6nzw54pt88932c0","Polr3b","C57BL","E12.5","IMPC_FEA_015_001","cue baseline % freezing time","0.6850717"
"2447762","6o04v9p07i7dz1c","Yeats2","C57BL","Late adult","IMPC_GEL_058_001","heart morphology","0.05213187"
"1933388","6o12l0oo73wk13i","Bicc1","C57BL","Early adult","IMPC_CBC_016_001","hdl-cholesterol","0.2657845"
"1917678","6o2l3dvr7i787ru","Polr3b","C57BL","E9.5","IMPC_ABR_010_001","24khz-evoked abr threshold","0.4095463"
"104709","6o39lxmev278h29","Wbp2","C57BL","Early adult","IMPC_CBC_028_001","creatine kinase","0.4188068"
"1929865","6o3dl83g53c756w","Nampt","C57BL","Early adult","IMPC_EYE_024_001","retinal blood vessels","0.2435313"
"1933169","6o437n8p69qa24t","Sacm1l","C57BL","E12.5","ESLIM_007_001_009","periphery average speed","0.6785035"
"1933946","6o4zhd9r9t8z519","Ptov1","C57BL","Early adult","IMPC_CBC_016_001","hdl-cholesterol","0.6983847"
"1930618","6o54vz37jaw15t2","Krit1","C57BL","E12.5","TCP_CHL_081_001","baseline enhanced pause","0.5288105"
"1891214","6o5vuu6s35p0k42","Lhfpl1","C57BL","Early adult","IMPC_ACS_006_001","response amplitude - s","0.1595367"
"99178","6o6662sn37erbb2","Zfp30","C57BL","Early adult","JAXLA_CSD_007_001","coat - color - abdomen","0.4086513"
"99779","6o7729ue345ztvq","Chrna7","C57BL","Early adult","IMPC_DXA_005_001","bone mineral content (excluding skull)","0.7429756"
"2443008","6o7rx43qb179o38","Trappc8","C57BL","Early adult","IMPC_ABR_008_001","18khz-evoked abr threshold","0.579544"
"1924285","6o81006y186wg9p","Kdm8","C57BL","Early adult","IMPC_ECG_007_001","qrs","0.05963923"
"99178","6o925b285a18a94","Zfp30","C57BL","Early adult","ESLIM_011_001_705","global prepulse inhibition","0.1416037"
"1100867","6oa988bh7667k03","Asic2","C57BL","Early adult","JAX_LDT_003_001","time mobile light side","0.6748404"
"1891214","6oe6b51zv4e253d","Lhfpl1","C57BL","Early adult","M-G-P_008_001_013","startle response","0.4491692"
"1914296","6ofw12336151pg6","Tbc1d7","C57BL","Early adult","IMPC_GEL_014_001","allantois morphology","0.1236004"
"94903","6ogsqg85c2m655i","Dlx3","C57BL","E9.5","ESLIM_011_001_006","110db startle magnitude","0.1436128"
"894310","6oirb688w46yf4w","Septin8","C57BL","Early adult","IMPC_CBC_009_001","calcium","0.424078"
"1298386","6on71787n930979","Tpd52l1","C57BL","Early adult","IMPC_GRS_010_001","forelimb grip strength normalised against body weight","0.9212459"
"107372","6ooty09l3241hs3","Pter","C57BL","Early adult","IMPC_CSD_010_001","coat - color pattern - abdomen","0.4914913"
"1917678","6oq3319ql8vam8k","Polr3b","C57BL","Early adult","IMPC_IPG_010_001","fasted blood glucose concentration","0.5161989"
"109242","6ore246yv0p55v6","Spin1","C57BL","Early adult","HRWLIP_CSD_032_001","locomotor activity","0.06116608"
"1933946","6os5z377htjet5i","Ptov1","C57BL","Early adult","IMPC_XRY_005_001","teeth","0.218578"
"1927657","6ou254r81ms912i","Ms4a8a","C53BL","Early adult","IMPC_IPG_011_001","initial response to glucose challenge","0.3675327"
"99178","6oy92kjrx17g128","Zfp30","C57BL","Early adult","IMPC_ABR_012_001","30khz-evoked abr threshold","0.8142249"
"1913743","6p13166u72m8t64","Mrpl51","C57BL","E9.5","IMPC_ACS_034_001","% pre-pulse inhibition - ppi2","0.06573575"
"1349660","6p1b0rq4sr0h21j","Pla2g2e","C57BL","Early adult","IMPC_XRY_019_001","fusion of vertebrae","0.8867755"
"103258","6p2032m367cv9bd","Adad1","C57BL","Early adult","IMPC_GRS_008_001","forelimb grip strength measurement mean","0.09100971"
"2444298","6p33b9f1324509t","G2e3","C57BL","Early adult","JAX_OFD_007_001","whole arena resting time","0.7454975"
"1352449","6p360s4c2c08zew","Cxcl9","C57BL","Early adult","IMPC_EYE_012_001","pupil shape","0.3825124"
"97749","6p3l711jg693rg3","Ppia","C57BL","Early adult","IMPC_DXA_007_001","bmc/body weight","0.4284482"
"2138584","6p3v0oc64t3ykp3","Gigyf2","C57BL","Early adult","IMPC_CSD_037_001","unexpected behaviors","0.4284664"
"1922684","6p3vh9m9ec2213d","Cimip2c","C57BL","Early adult","IMPC_GEL_014_001","allantois morphology","0.4763216"
"2444115","6p480aq7hl12p8w","Hecw1","C57BL","Middle aged adult","IMPC_OFD_015_001","center resting time","0.4458233"
"2442192","6p63r4v1798gv2a","Eea1","C57BL","Early adult","IMPC_IPG_012_001","area under glucose response curve","0.8325743"
"1917678","6p6x9605eg7zd2u","Polr3b","C57BL","E12.5","UCD_OWT_003_001","spleen weight","0.9104844"
"1924285","6p765jzk202r0b2","Kdm8","C57BL","Early adult","IMPC_CSD_037_001","unexpected behaviors","0.936233"
"1923607","6p76u7mk6e453g9","Trmt5","C57BL","Early adult","M-G-P_007_001_003","whole arena - resting time","0.8238471"
"97749","6p7ey02o6n52x1m","Ppia","C57BL","Early adult","IMPC_IPG_011_001","initial response to glucose challenge","0.8915686"
"3605773","6p7p8609z39ocs6","Cimip2a","C57BL","Early adult","IMPC_IPG_012_001","area under glucose response curve","0.08233274"
"109242","6p81q3hn7d65gui","Spin1","C57BL","E12.5","IMPC_DXA_010_001","bone area","0.5289438"
"96743","6p8z1440725rgh6","Lamb1","C57BL","E9.5","IMPC_CSD_033_001","gait","0.4548305"
"1917315","6p9us23krih2mfw","Ankrd60","C57BL","Early adult","IMPC_CBC_028_001","creatine kinase","0.2419086"
"2448415","6pb3hyv93773kax","H2bc21","C57BL","Early adult","IMPC_DXA_004_001","bone mineral density (excluding skull)","0.9895731"
"1913367","6pc8z6o05p5f613","Fmc1","C57BL","E12.5","IMPC_CBC_006_001","total protein","0.8830123"
"2447762","6pdewdn5i55w4h4","Yeats2","C57BL","Early adult","IMPC_EYE_014_001","pupil light response","0.9355929"
"2444115","6pgig7m947t34uf","Hecw1","C57BL","Late adult","IMPC_GEO_069_001","delayed embryonic development","1"
"2447762","6pk73a0e8h2fav1","Yeats2","C57BL","E9.5","IMPC_EYE_017_001","lens opacity","0.1848261"
"1917678","6pkbow8t0h639b0","Polr3b","C57BL","E12.5","ESLIM_019_001_007","ige","0.06107673"
"98386","6pm388hi7rq03kq","Sptan1","C57BL","E9.5","IMPC_CSD_010_001","coat - color pattern - abdomen","0.2561206"
"1891361","6pn061hk9sq9d11","Psg29","C57BL","Early adult","IMPC_CBC_009_001","calcium","0.6269898"
"103258","6pp4d7hj5ewj5dv","Adad1","C57BL","Early adult","IMPC_CSD_033_001","gait","0.6233225"
"2384860","6pwkkm871vh1qgg","Slc44a3","C57BL","Early adult","IMPC_CSD_029_001","activity (body position)","0.5538901"
"1858752","6px0896f7cji0vx","Rundc3a","C57BL","Early adult","IMPC_CSD_033_001","gait","0.1109937"
"1927657","6q2n6a901bk76qc","Ms4a8a","C57BL","Early adult","IMPC_HEM_004_001","hematocrit","0.3149285"
"107444","6q31q99z4a13439","Efna5","C57BL","Early adult","JAX_LDT_003_001","time mobile light side","0.4356634"
"2448415","6q4n307codb873k","H2bc21","C57BL","E18.5","IMPC_GRS_008_001","forelimb grip strength measurement mean","0.8342238"
"2443008","6q540c01811j56m","Trappc8","C57BL","E9.5","IMPC_GEL_018_001","visceral yolk sac morphology","0.1630355"
"2444115","6q5rl1psdu58703","Hecw1","C57BL","Middle aged adult","IMPC_OFD_014_001","center distance travelled","0.0724443"
"1917633","6q60655f535fsd4","Cox10","C57BL","E9.5","M-G-P_007_001_003","whole arena - resting time","0.1471613"
"1922684","6q6bvm7874i5ca8","Cimip2c","C57BL","Early adult","IMPC_XRY_033_001","tibia length","0.5413793"
"2681164","6q6w219l0dvyk8b","Plekha8","C57BL","Early adult","IMPC_LDT_008_001","percent time in light","0.8134453"
"1100867","6q7335y84429l04","Asic2","C57BL","Early adult","IMPC_CBC_003_001","chloride","0.5763927"
"1917633","6q79pp98u2e150u","Cox10","C57BL","E9.5","IMPC_CSD_078_001","vocalization","0.8439725"
"3644478","6q9i2o3p3639t60","Defb47","C57BL","Early adult","IMPC_LDT_007_001","percent time in dark","0.8381537"
"1924136","6q9k5834q4231b6","Fam81a","C57BL","Early adult","UCD_OWT_002_001","heart weight","0.9242568"
"96136","6qd7ev66axhzyma","Hmgn2","C57BL","E12.5","IMPC_ABR_010_001","24khz-evoked abr threshold","0.3146834"
"1927665","6qgtt549k359ic7","Sirt3","C57BL","Early adult","IMPC_OFD_019_001","number of center entries","0.4641996"
"1915513","6qh6958m6r7epwk","Pdhb","C57BL","Early adult","JAX_OFD_009_001","whole arena average speed","0.253453"
"1927657","6qk45bgsqki74oy","Ms4a8a","C57BL","Early adult","JAXLA_CSD_008_001","coat - color pattern - back","0.7669309"
"2447762","6qk5706c59iq80y","Yeats2","C57BL","E9.5","IMPC_CSD_078_001","vocalization","0.4119168"
"1929865","6qn8u8134gpq2x7","Nampt","C57BL","Early adult","IMPC_DXA_004_001","bone mineral density (excluding skull)","0.3545337"
"103258","6qnxr145vsqb6v4","Adad1","C57BL","Early adult","UCD_OWT_003_001","spleen weight","0.7889897"
"109167","6qo5e606rzt44w6","Fgf11","C57BL","Early adult","IMPC_GRS_011_001","forelimb and hindlimb grip strength normalised against body weight","0.1127625"
"1891361","6qq231znq167581","Psg29","C57BL","Early adult","JAXLA_CSD_077_001","contact righting","0.0985801"
"107444","6qq7i53083r728s","Efna5","C57BL","Early adult","IMPC_ACS_034_001","% pre-pulse inhibition - ppi2","0.3109398"
"1298386","6qqv1t2an5s80a2","Tpd52l1","C57BL","Early adult","IMPC_CBC_010_001","phosphorus","0.2738754"
"2444115","6qu5ib908rg557k","Hecw1","C57BL","Middle aged adult","IMPC_XRY_019_001","fusion of vertebrae","0.3341933"
"99510","6qudg7zk043sc8y","Tmsb4x","C57BL","Early adult","IMPC_LDT_008_001","percent time in light","0.7281056"
"2448415","6qvk43pdy75m811","H2bc21","C57BL","Early adult","ESLIM_008_001_001","body position","0.7516129"
"2384812","6r1w07ka52zh4k0","Lpcat1","C57BL","Early adult","IMPC_OFD_007_001","whole arena resting time","0.2054516"
"1196455","6r22a5iamv49a81","Ccdc97","C57BL","Early adult","IMPC_ACS_034_001","% pre-pulse inhibition - ppi2","0.2784501"
"97361","6r27357b07eity2","Nos2","C57BL","Early adult","UCD_OWT_008_001","liver weight","0.6287439"
"2137681","6r31l7jdh6t6c8e","Sfxn5","C57BL","Early adult","ESLIM_011_001_705","global prepulse inhibition","0.9576531"
"1921740","6r3k074w41414el","Mamstr","C57BL","Early adult","IMPC_IPG_011_001","initial response to glucose challenge","0.1950077"
"1913743","6r4dua17ay6a5w1","Mrpl51","C57BL","E9.5","IMPC_EYE_026_001","retinal blood vessels pattern","0.5348833"
"1933946","6r538bkd6dt4d43","Ptov1","C57BL","Early adult","ESLIM_011_001_703","prepulse inhibition - pp3","0.3677375"
"96136","6r69077i849455y","Hmgn2","C57BL","","IMPC_GEO_011_001","blood vessel morphology","0.1660665"
"109242","6r97d1nw84a1707","Spin1","C57BL","Early adult","IMPC_LDT_008_001","percent time in light","0.1720914"
"2448415","6rc14je23n6c770","H2bc21","C57BL","Late adult","IMPC_CBC_016_001","hdl-cholesterol","0.647641"
"1930618","6re84z7yh1hbp12","Krit1","C57BL","Early adult","IMPC_ABR_010_001","24khz-evoked abr threshold","0.5103122"
"107372","6rieaq45qxaia22","Pter","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.4776957"
"1913367","6rom2360syn20k8","Fmc1","C57BL","E15.5","IMPC_GEL_057_001","heart looping","0.6795401"
"1913335","6rqbj017l476k0m","Eif3f","C57BL","Early adult","ESLIM_011_001_010","pp4 + pulse startle magnitude","0.7937746"
"1914296","6rt83288n8lg854","Tbc1d7","C57BL","E18.5","ESLIM_016_001_005","mean cell volume","0.7943817"
"1345633","6rz341n5n58mz21","Mars1","C57BL","E9.5","IMPC_GEL_027_001","neural tube closure","0.4479909"
"1202715","6s072up373s450a","Tcf21","C57BL","Early adult","IMPC_HEM_019_001","mean platelet volume","0.7780339"
